S-Pscore,,,,,,,,,,,
,カテゴリー,単元,単元,単元,単元,単元,単元,単元,単元,単元,単元
,難易度,知識,思考,知識,思考,知識,思考,知識,思考,知識,思考
出席番号,生徒/問題,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10
1,a1,1,1,1,1,1,1,1,1,1,1
2,b2,1,1,1,1,1,1,1,1,1,0
3,c3,1,1,1,1,1,0,1,1,0,1
4,d4,1,1,1,1,1,1,1,0,0,0
5,e5,1,1,1,0,1,0,1,0,1,0
6,f6,1,1,0,1,1,0,1,1,0,0
7,g7,1,1,1,1,0,1,0,0,0,0
8,h8,1,1,1,0,1,0,0,0,1,0
9,i9,1,1,0,1,0,0,1,0,0,1
10,j10,1,0,0,1,0,1,0,1,1,0
11,k11,0,1,1,1,0,1,0,0,0,0
12,l12,1,0,0,0,0,1,0,1,0,1
13,m13,1,0,1,0,1,0,0,0,0,0
14,n14,0,0,1,0,0,1,0,0,0,0
15,o15,0,1,0,0,0,0,0,0,0,0
